"","ADDRESSS","name","lat","long","accuracy","formatted_address"
"44","241 BEACH 116 STREET 11694","PANINICO CAFE INC",40.5804826,40.5804826,"street_address","241 Beach 116th St, Rockaway Park, NY 11694, USA"
"45","241 BOWERY 10002","LA GAMELLE",40.722486,40.722486,"premise","241 Bowery, New York, NY 10002, USA"
"46","241 BUSHWICK AVENUE 11206","DANNY'S PIZZERIA & CAFE",40.7078664,40.7078664,"premise","241 Bushwick Ave, Brooklyn, NY 11206, USA"
"47","241 CANAL STREET 10013","STARBUCKS",40.718362,40.718362,"street_address","241 Canal St, New York, NY 10013, USA"
"48","241 COOK ST 11206","TAQUERIA EL FOGON 2",40.7036505,40.7036505,"premise","241 Cook St, Brooklyn, NY 11206, USA"
"49","241 E 10TH ST 10003","SNOWDAYS SHAVERY",40.7290371,40.7290371,"street_address","241 E 10th St, New York, NY 10003, USA"
"50","241 E 24TH ST 10010","NEW YORK COMEDY CLUB",40.7389512,40.7389512,"premise","241 E 24th St, New York, NY 10010, USA"
"51","241 MULBERRY ST 10012","LIGHTHOUSE OUTPOST",40.7228844,40.7228844,"premise","241 Mulberry St, New York, NY 10012, USA"
"52","241 ROCKAWAY PARKWAY 11212","DUNKIN' DONUTS, BASKIN ROBBINS",40.6615102,40.6615102,"street_address","241 Rockaway Pkwy, Brooklyn, NY 11212, USA"
"53","241 ROGERS AVE 11225","MARKER COFFEE",40.668076,40.668076,"premise","241 Rogers Ave, Brooklyn, NY 11225, USA"
"54","241 SHERMAN AVENUE 10034","BIZCOCHO DE COLORES",40.8658296,40.8658296,"premise","241 Sherman Ave, New York, NY 10034, USA"
"55","241 SMITH STREET 11231","JOLIE CANTINA",40.6835698,40.6835698,"premise","241 Smith St, Brooklyn, NY 11231, USA"
"56","241 SOUTH    4 STREET 11211","XIXA",40.7104476,40.7104476,"street_address","241 S 4th St, Brooklyn, NY 11211, USA"
"57","241 SULLIVAN STREET 10012","SHADE",40.7298997,40.7298997,"street_address","241 Sullivan St, New York, NY 10012, USA"
"58","241 W 54TH ST 10019","CREATIVE CATERERS",40.7644994,40.7644994,"street_address","241 W 54th St, New York, NY 10019, USA"
"59","241 WEST   14 STREET 10011","NORWOOD",40.7394874,40.7394874,"premise","241 W 14th St, New York, NY 10011, USA"
"60","241 WEST 42 STREET 10036","DALLAS BBQ",40.7570673,40.7570673,"street_address","241 W 42nd St, New York, NY 10036, USA"
"61","2410 ARTHUR AVENUE 10458","TINOS DELICATESSEN",40.8557741,40.8557741,"premise","2410 Arthur Ave, Bronx, NY 10458, USA"
"62","2410 CONEY ISLAND AVE 11223","MCDONALD'S",40.5980829,40.5980829,"premise","2410 Coney Island Ave, Brooklyn, NY 11223, USA"
"63","24106 HILLSIDE AVENUE 11426","HILLSIDE DELICATESSEN AND CATERERS",40.7336137,40.7336137,"street_address","241-06 Hillside Avenue, Jamaica, NY 11426, USA"
"64","2411 86TH ST 11214","MCDONALD'S",40.5992539,40.5992539,"street_address","2411 86th St, Brooklyn, NY 11214, USA"
"65","2411 STEINWAY STREET 11103","DUZAN",40.7686462,40.7686462,"street_address","24-11 Steinway St, Astoria, NY 11103, USA"
"66","2412 3RD AVE 10454","MOTT HAVEN BAR & GRILL",40.808318,40.808318,"street_address","2412 Third Ave, Bronx, NY 10454, USA"
"67","2412 STEINWAY STREET 11103","DUNKIN' DONUTS",40.7626109,40.7626109,"street_address","2412 Steinway St, Astoria, NY 11103, USA"
"68","24121 BRADDOCK AVE 11426","VINNY'S PIT STOP",40.7264928,40.7264928,"street_address","241-21 Braddock Ave, Jamaica, NY 11426, USA"
"69","2413 WESTCHESTER AVENUE 10461","NEW JADE GARDEN",40.8375252,40.8375252,"premise","2413 Westchester Ave, Bronx, NY 10461, USA"
"70","2413A 2ND AVE 10035","NEW DRAGON ONE",40.8019939,40.8019939,"premise","2413a 2nd Ave, New York, NY 10035, USA"
"71","2414 149 STREET 11357","PARKSIDE PUB",40.7769904,40.7769904,"street_address","24-14 149th St, Flushing, NY 11357, USA"
"72","2414 34 AVENUE 11106","HUNAN CHINESE RESTAURANT",40.7614146,40.7614146,"street_address","24-14 34th Ave, Astoria, NY 11106, USA"
"73","2414 GERRITSEN AVENUE 11229","VETERANS OF FOREIGN WARS POST #107 CANTEEN",40.598023,40.598023,"street_address","2414 Gerritsen Ave, Brooklyn, NY 11229, USA"
"74","2414 WILLIAMSBRIDGE RD 10469","YANG'S HAPPY GARDEN",40.8615656,40.8615656,"street_address","2414 Williamsbridge Rd, Bronx, NY 10469, USA"
"75","2415 E TREMONT AVE 10461","FRANKY POLLOS",40.842788,40.842788,"premise","2415 E Tremont Ave, Bronx, NY 10461, USA"
"76","2415 STEINWAY ST 11103","CAIRO GRILL & SEAFOOD",40.7685916,40.7685916,"street_address","2415 Steinway St, Astoria, NY 11103, USA"
"77","2417 149 STREET 11357","WHITESTONE BAGEL FACTORY",40.7768177,40.7768177,"street_address","24-17 149th St, Flushing, NY 11357, USA"
"78","2417 DITMARS BOULEVARD 11105","MIA PIZZA",40.7790622,40.7790622,"street_address","24-17 Ditmars Blvd, Long Island City, NY 11105, USA"
"79","2417 HOLLERS AVENUE 10475","BOWLER LAND",40.8860499,40.8860499,"premise","2417 Hollers Ave, Bronx, NY 10475, USA"
"80","2417 STEINWAY STREET 11103","LAYALI DUBAI",40.7685376,40.7685376,"street_address","24-17 Steinway St, Astoria, NY 11103, USA"
"81","2418 BROADWAY 10024","CIBO E VINO",40.7899815,40.7899815,"street_address","2418 Broadway, New York, NY 10024, USA"
"82","2419 2ND AVE 10035","TROPICAL GRILL",40.802342,40.802342,"street_address","2419 2nd Ave, New York, NY 10035, USA"
"83","2419 ADAM CLAYTON POWELL JR BOULEVARD 10030","FU ON KITCHEN",40.8192368,40.8192368,"street_address","2419 Adam Clayton Powell Jr Blvd, New York, NY 10030, USA"
"84","2419 CONEY ISLAND AVENUE 11223","DUNKIN' DONUTS",40.5978699,40.5978699,"premise","2419 Coney Island Ave, Brooklyn, NY 11223, USA"
"85","2419 FOSTER AVE 11210","2419 CHINA STAR RESTAURANT",40.6384459,40.6384459,"street_address","2419 Foster Ave, Brooklyn, NY 11210, USA"
"86","241B NYC TERMINAL MARKET 10474","SOUTH SIDE GOURMET SPANISH AND AMERICAN FOOD",40.8187198,40.8187198,"route","Bronx Terminal Market, Bronx, NY 10451, USA"
"87","242 10 AVENUE 10001","TRESTLE ON TENTH/ROCKET PIG",40.748382,40.748382,"street_address","242 10th Ave, New York, NY 10001, USA"
"88","242 5TH AVE 11215","SEED",40.675494,40.675494,"premise","242 5th Ave, Brooklyn, NY 11215, USA"
"89","242 8 AVENUE 10011","MURRAY'S BAGELS",40.7447481,40.7447481,"premise","242 8th Ave, New York, NY 10011, USA"
"90","242 CANAL STREET 10013","242 CAFE BAKERY",40.7179827,40.7179827,"premise","242 Canal St, New York, NY 10013, USA"
"91","242 COURT ST 11201","AWASH ETHIOPIAN RESTAURANT",40.6858033,40.6858033,"premise","242 Court St, Brooklyn, NY 11201, USA"
"92","242 DEKALB AVENUE 11205","ALIBI CLUB",40.6893199,40.6893199,"premise","242 Dekalb Ave, Brooklyn, NY 11205, USA"
"93","242 E 10TH ST 10003","PINKS",40.7287702,40.7287702,"premise","242 E 10th St, New York, NY 10003, USA"
"94","242 E 14TH ST 10003","KFC",40.7322684,40.7322684,"street_address","242 E 14th St, New York, NY 10003, USA"
"95","242 E 50TH ST 10022","SOFIA WINE BAR",40.7549809,40.7549809,"premise","242 E 50th St, New York, NY 10022, USA"
"96","242 EAST    3 STREET 10009","ROSSY'S BAKERY & COFFEE SHOP",40.7218637,40.7218637,"premise","242 E 3rd St, New York, NY 10009, USA"
"97","242 EAST   40 STREET 10016","PHOENIX GARDEN",40.7486299,40.7486299,"premise","242 E 40th St, New York, NY 10016, USA"
"98","242 EAST   79 STREET 10075","OUR PLACE CHINA CHALET",40.7733804,40.7733804,"street_address","242 E 79th St, New York, NY 10075, USA"
"99","242 EAST   81 STREET 10028","LUKE'S LOBSTER",40.7747367,40.7747367,"street_address","242 E 81st St, New York, NY 10028, USA"
"100","242 EAST  116 STREET 10029","PASTELES CAPY",40.797001,40.797001,"street_address","242 E 116th St, New York, NY 10029, USA"
"101","242 FLATBUSH AVENUE 11217","WOODLAND",40.680177,40.680177,"premise","242 Flatbush Ave, Brooklyn, NY 11217, USA"
"102","242 HIMROD ST 11237","DARLING'S",40.699996,40.699996,"premise","242 Himrod St, Brooklyn, NY 11237, USA"
"103","242 MOTT STREET 10012","CAFE GITANE",40.7231554,40.7231554,"premise","242 Mott St, New York, NY 10012, USA"
"104","242 WEST   16 STREET 10011","THE GREY DOG",40.7404343,40.7404343,"street_address","242 W 16th St, New York, NY 10011, USA"
"105","242 WEST   34 STREET 10001","GARRETT POPCORN SHOPS",40.752981,40.752981,"route","W 34th St, New York, NY 10001, USA"
"106","242 WEST   49 STREET 10019","CIELO AT THE MAYFAIR",40.7611761,40.7611761,"premise","242 W 49th St, New York, NY 10019, USA"
"107","242 WEST   56 STREET 10019","SZECHUAN GOURMET",40.7656618,40.7656618,"street_address","242 W 56th St, New York, NY 10019, USA"
"108","242 WEST 45th Street 10036","BERNARD B JACOBS THEATER",40.7587254,40.7587254,"street_address","242 W 45th St, New York, NY 10036, USA"
"109","242-244 EAST   79 STREET 10075","SOJOURN",40.7733602,40.7733602,"street_address","244 E 79th St, New York, NY 10075, USA"
"110","24202 61 AVENUE 11362","BURGER KING",40.7543546,40.7543546,"premise","242-02 61st Ave, Douglaston, NY 11362, USA"
"111","24203 NORTHERN BLVD 11363","ITZ FIRE",40.7655492,40.7655492,"street_address","242-03 Northern Blvd, Douglaston, NY 11362, USA"
"112","24205 NORTHERN BLVD 11362","AEGEA WEST",40.765337,40.765337,"street_address","242-5 Northern Blvd, Little Neck, NY 11362, USA"
"113","2421 ADAM CLAYTON POWELL JR B 10030","POLANCO RESTAURANT BBQ",40.8191934,40.8191934,"street_address","2421 Adam Clayton Powell Jr Blvd, New York, NY 10030, USA"
"114","2421 STEINWAY STREET 11103","NOISETTE CAFE",40.7684173,40.7684173,"street_address","24-21 Steinway St, Long Island City, NY 11103, USA"
"115","24222 MERRICK BOULEVARD 11422","NEW KIM'S CHINESE FOOD",40.6738395,40.6738395,"street_address","242-22 Merrick Blvd, Rosedale, NY 11422, USA"
"116","2423 ARTHUR AVE 10458","MALESIA CAFE",40.856271,40.856271,"street_address","2423 Arthur Ave, Bronx, NY 10458, USA"
"117","2424 3RD AVE 10454","FILTERED COFFEE BRONX",40.8094321,40.8094321,"street_address","2424 Third Ave, Bronx, NY 10454, USA"
"118","2424 BROADWAY 10024","DUNKIN' DONUTS",40.7903926,40.7903926,"street_address","2424 Broadway, New York, NY 10024, USA"
"119","2425 BROADWAY 10024","OLLIES TO GO",40.7904902,40.7904902,"street_address","2425 Broadway, New York, NY 10024, USA"
"120","2425 CONEY ISLAND AVE 11223","BURGER KING",40.5977156,40.5977156,"premise","2425 Coney Island Ave, Brooklyn, NY 11223, USA"
"121","2425 GRAND CONCOURSE 10468","MOM'S BAKERY",40.8609173,40.8609173,"premise","2425 Grand Concourse, Bronx, NY 10468, USA"
"122","2425 HYLAN BOULEVARD 10306","DUNKIN' DONUTS",40.5721276,40.5721276,"premise","2425 Hylan Blvd, Staten Island, NY 10306, USA"
"123","2425 STEINWAY STREET 11103","SABRY'S SEAFOOD RESTAURANT",40.7683047,40.7683047,"street_address","2425 Steinway St, Astoria, NY 11103, USA"
"124","2426 JEROME AVENUE 10468","STEVE'S BAKERY",40.8620949,40.8620949,"street_address","2426 Jerome Ave, Bronx, NY 10468, USA"
"125","2426 PITKIN AVENUE 11208","LA BONA PIZZA RESTAURANT",40.6736445,40.6736445,"premise","2426 Pitkin Ave, Brooklyn, NY 11208, USA"
"126","2427 BROADWAY 10024","CANDLE CAFE WEST",40.7905977,40.7905977,"street_address","2427 Broadway, New York, NY 10024, USA"
"127","2428 CRESTON AVENUE 10468","SZECHUAN GARDEN",40.861424,40.861424,"street_address","2428 Creston Ave, Bronx, NY 10468, USA"
"128","2428 HUGHES AVE 10458","",40.8559326,40.8559326,"street_address","2428 Hughes Ave, Bronx, NY 10458, USA"
"129","2428 JACKSON AVENUE 11101","BROOKS 1890 RESTAURANT",40.7462675,40.7462675,"street_address","2428 Jackson Ave, Long Island City, NY 11101, USA"
"130","243 3 AVENUE 10003","DUNKIN' DONUTS, BASKIN ROBBINS",40.7367596,40.7367596,"premise","243 3rd Ave, New York, NY 10003, USA"
"131","243 9 AVENUE 10001","DUNKIN' DONUTS",40.7476704,40.7476704,"street_address","243 9th Ave, New York, NY 10001, USA"
"132","243 BEACH 20TH ST 11691","CHANG XING KITCHEN",40.5961391,40.5961391,"street_address","2-43 Beach 20th St, Far Rockaway, NY 11691, USA"
"133","243 BEDELL AVENUE 10307","SOUTH SHORE LITTLE LEAGUE CONCESION STAND",40.5077921,40.5077921,"premise","243 Bedell Ave, Staten Island, NY 10307, USA"
"134","243 BLEECKER STREET 10014","PASTICCERIA ROCCO",40.7308639,40.7308639,"premise","243 Bleecker St, New York, NY 10014, USA"
"135","243 BUSHWICK AVENUE 11206","BUSHWICK PITA PALACE",40.7075326,40.7075326,"premise","243 Bushwick Ave, Brooklyn, NY 11206, USA"
"136","243 DEKALB AVENUE 11205","ROMAN'S",40.6896356,40.6896356,"premise","243 Dekalb Ave, Brooklyn, NY 11205, USA"
"137","243 E 14TH ST 10003","THE WINSLOW",40.732778,40.732778,"premise","243 E 14th St, New York, NY 10003, USA"
"138","243 EAST   53 STREET 10022","LUNA PIENA",40.7572383,40.7572383,"premise","243 E 53rd St, New York, NY 10022, USA"
"139","243 EAST   58 STREET 10022","FELIDIA RESTAURANT",40.7603679,40.7603679,"premise","243 E 58th St, New York, NY 10022, USA"
"140","243 FIFTH AVENUE 11215","HIGH DIVE",40.6749187,40.6749187,"premise","243 5th Ave, Brooklyn, NY 11215, USA"
"141","243 GRAND STREET 10002","GOOD CENTURY CAFE",40.7181579,40.7181579,"premise","243 Grand St, New York, NY 10002, USA"
"142","243 MALCOLM X BLVD 11233","NATURAL BLEND 2",40.68447,40.68447,"street_address","243 Malcolm X Blvd, Brooklyn, NY 11233, USA"
"143","243 W 116TH ST 10026","PIKINE AFRICAN RESTAURANT",40.8041966,40.8041966,"street_address","243 W 116th St, New York, NY 10026, USA"
"144","243 W 14TH ST 10011","HOT N JUICY CRAWFISH",40.7395587,40.7395587,"premise","243 W 14th St, New York, NY 10011, USA"
"145","243 W 38TH ST 10018","INDIAN PROJECT",40.7542964,40.7542964,"premise","243 W 38th St, New York, NY 10018, USA"
"146","243 WEST   42 STREET 10036","CHEVYS FRESH MEX",40.7568759,40.7568759,"street_address","243 W 42nd St, New York, NY 10036, USA"
"147","243 WEST   47 STREET 10036","ETHEL BARRYMORE THEATER",40.7601064,40.7601064,"premise","243 W 47th St, New York, NY 10036, USA"
"148","243 WEST   54 STREET 10019","CHARACTERS NYC BAR & GRILL",40.764522,40.764522,"street_address","243 W 54th St, New York, NY 10019, USA"
"149","24303 MERRICK BOULEVARD 11422","USA DINER",40.6743819,40.6743819,"premise","243-03 Merrick Blvd, Jamaica, NY 11422, USA"
"150","24304 MERRICK BLVD 11422","ROSEDALE DELICATESSEN",40.6738513,40.6738513,"street_address","243-04 Merrick Blvd, Rosedale, NY 11422, USA"
"151","2431 JEROME AVENUE 10468","DIAMANTE POBLANO RESTAURANT",40.8621607,40.8621607,"premise","2431 Jerome Ave, Bronx, NY 10468, USA"
"152","24310 MERRICK BLVD 11422","ISLAND TASTE",40.6738847,40.6738847,"street_address","243-10 Merrick Blvd, Rosedale, NY 11422, USA"
"153","2432 E TREMONT AVE 10461","PEKING HOUSE",40.8423862,40.8423862,"street_address","2432 E Tremont Ave, Bronx, NY 10461, USA"
"154","2432 GRAND CONCOURSE 10458","SUBWAY",40.860521,40.860521,"street_address","2432 Grand Concourse, Bronx, NY 10458, USA"
"155","2434 STILLWELL AVE 11223","H & Y BAKERY",40.58797,40.58797,"street_address","2434 Stillwell Ave, Brooklyn, NY 11223, USA"
"156","2435 86TH ST 11214","BENSON EATING STATION",40.598897,40.598897,"street_address","2435 86th St, Brooklyn, NY 11214, USA"
"157","2436 NOSTRAND AVE 11210","CANTEEN",40.625285,40.625285,"street_address","2436 Nostrand Ave, Brooklyn, NY 11210, USA"
"158","2438 EASTCHESTER ROAD 10469","C & C DELI COFFEE SHOP & DELI",40.8621913,40.8621913,"street_address","2438 Eastchester Rd, Bronx, NY 10469, USA"
"159","2438 JEROME AVE 10468","SUBWAY",40.862218,40.862218,"street_address","2438 Jerome Ave, Bronx, NY 10468, USA"
"160","2438 STILLWELL AVENUE 11223","JOHN'S DELI",40.5878885,40.5878885,"street_address","2438 Stillwell Ave, Brooklyn, NY 11223, USA"
"161","2439 STEINWAY ST 11103","HOME MADE BAKLAWA",40.7680135,40.7680135,"street_address","24-39 Steinway St, Astoria, NY 11103, USA"
"162","2439 STEINWAY STREET 11103","LITTLE MOROCCO RESTAURANT",40.7680135,40.7680135,"street_address","24-39 Steinway St, Astoria, NY 11103, USA"
"163","244 3 AVENUE 10010","BARFLY",40.7371804,40.7371804,"street_address","244 3rd Ave, New York, NY 10010, USA"
"164","244 7TH AVE 11215","BOBO'S SMOOTHIES",40.6695511,40.6695511,"street_address","244 7th Ave, Brooklyn, NY 11215, USA"
"165","244 E 13TH ST 10003","ZABB CITY",40.7317909,40.7317909,"street_address","244 E 13th St, New York, NY 10003, USA"
"166","244 E 51ST ST 10022","KARIZMA LOUNGE",40.7556061,40.7556061,"premise","244 E 51st St, New York, NY 10022, USA"
"167","244 EAST   53 STREET 10022","T & G WHITNEY'S",40.75682,40.75682,"street_address","244 E 53rd St, New York, NY 10022, USA"
"168","244 EAST 46 STREET 10017","RISTORANTE GRIFONE",40.7524063,40.7524063,"premise","244 E 46th St, New York, NY 10017, USA"
"169","244 EAST HOUSTON STREET 10002","OPEN HOUSE",40.7223511,40.7223511,"street_address","244 E Houston St, New York, NY 10002, USA"
"170","244 FLATBUSH AVENUE 11217","TARO SUSHI",40.6796443,40.6796443,"street_address","244 Flatbush Ave, Brooklyn, NY 11217, USA"
"171","244 GRAND STREET 11211","CARIBBEAN SPORTS",40.7134713,40.7134713,"street_address","244 Grand St, Brooklyn, NY 11211, USA"
"172","244 MADISON AVE 10016","DUNKIN' DONUTS",40.7502162,40.7502162,"premise","244 Madison Ave, New York, NY 10016, USA"
"173","244 MADISON AVENUE 10016","MOONSTRUCK",40.7502162,40.7502162,"premise","244 Madison Ave, New York, NY 10016, USA"
"174","244 MULBERRY STREET 10012","THE GREY DOG MULBERRY",40.7229542,40.7229542,"premise","244 Mulberry St, New York, NY 10012, USA"
"175","244 UTICA AVENUE 11213","TOTA'S",40.6701914,40.6701914,"premise","244 Utica Ave, Brooklyn, NY 11213, USA"
"176","244 WEST   14 STREET 10011","UP AND DOWN",40.739237,40.739237,"premise","244 W 14th St, New York, NY 10011, USA"
"177","244 WEST   48 STREET 10036","PONGSRI THAI RESTAURANT",40.7606585,40.7606585,"premise","244 W 48th St, New York, NY 10036, USA"
"178","244 WEST   56 STREET 10019","JOE G  RESTAURANT (DA VINCI HOTEL)",40.7656514,40.7656514,"premise","244 W 56th St, New York, NY 10019, USA"
"179","2440 AMSTERDAM AVE 10033","EL FOGON DE ABUELA",40.8485799,40.8485799,"premise","2440 Amsterdam Ave, New York, NY 10033, USA"
"180","2440 EASTCHESTER ROAD 10469","VILLA MARIA PIZZERIA",40.862238,40.862238,"street_address","2440 Eastchester Rd, Bronx, NY 10469, USA"
"181","2441 BROADWAY 10024","CITY DINER",40.7911059,40.7911059,"street_address","2441 Broadway, New York, NY 10024, USA"
"182","24410 FRANCIS LEWIS BOULEVARD 11422","MARIO'S PIZZA",40.6649145,40.6649145,"premise","244-10 Francis Lewis Blvd, Jamaica, NY 11422, USA"
"183","24410 MERRICK BLVD 11422","MCDONALD'S",40.6739164,40.6739164,"premise","244-10 Merrick Blvd, Jamaica, NY 11422, USA"
"184","2442 BROADWAY 10024","BY THE WAY BAKERY",40.7908661,40.7908661,"street_address","2442 Broadway, New York, NY 10024, USA"
"185","2442 STEINWAY ST 11103","MAYA CUISINE",40.768194,40.768194,"street_address","24-42 Steinway St, Long Island City, NY 11103, USA"
"186","244246 WEST 14 STREET 10011","SUBWAY",40.7391517,40.7391517,"route","W 14th St, New York, NY 10011, USA"
"187","24435 MERRICK BOULEVARD 11422","J & S PIZZA",40.6742234,40.6742234,"street_address","24435 Merrick Blvd, Rosedale, NY 11422, USA"
"188","2445 CRESTON AVENUE 10468","A&E TENOCHTITLAN DELI & TAQUERIA",40.8615377,40.8615377,"street_address","2445 Creston Ave, Bronx, NY 10468, USA"
"189","2446 BROADWAY 10024","TAL BAGELS",40.7909801,40.7909801,"street_address","2446 Broadway, New York, NY 10024, USA"
"190","2448 JEROME AVENUE 10468","EL VALLE RESTAURANT",40.8624363,40.8624363,"street_address","2448 Jerome Ave, Bronx, NY 10468, USA"
"191","2449 CRESTON AVE 10468","FRESH FRUTII",40.8616303,40.8616303,"street_address","2449 Creston Ave, Bronx, NY 10468, USA"
"192","2449 VETERANS RD W 10309","DUNKIN DONUTS",40.5283652,40.5283652,"street_address","2449 Veterans Rd W, Staten Island, NY 10309, USA"
